file,source_family,column,row_count,blank_count,blank_pct,non_empty_count
AffectedPersons__20260418_072029_UTC.csv,CBPF,Year,16,0,0.0,16
AffectedPersons__20260418_072029_UTC.csv,CBPF,CBPF Name,16,0,0.0,16
AffectedPersons__20260418_072029_UTC.csv,CBPF,Boys (Reached),16,0,0.0,16
AffectedPersons__20260418_072029_UTC.csv,CBPF,Boys (Targeted),16,0,0.0,16
AffectedPersons__20260418_072029_UTC.csv,CBPF,Girls (Reached),16,0,0.0,16
AffectedPersons__20260418_072029_UTC.csv,CBPF,Girls (Targeted),16,0,0.0,16
AffectedPersons__20260418_072029_UTC.csv,CBPF,Men (Reached),16,0,0.0,16
AffectedPersons__20260418_072029_UTC.csv,CBPF,Men (Targeted),16,0,0.0,16
AffectedPersons__20260418_072029_UTC.csv,CBPF,Women (Reached),16,0,0.0,16
AffectedPersons__20260418_072029_UTC.csv,CBPF,Women (Targeted),16,0,0.0,16
AffectedPersons__20260418_072029_UTC.csv,CBPF,Total (Reached),16,0,0.0,16
AffectedPersons__20260418_072029_UTC.csv,CBPF,Total (Targeted),16,0,0.0,16
AllocationFlow__20260418_071755_UTC.csv,CBPF,Year,198,0,0.0,198
AllocationFlow__20260418_071755_UTC.csv,CBPF,Fund,198,0,0.0,198
AllocationFlow__20260418_071755_UTC.csv,CBPF,Partner type,198,0,0.0,198
AllocationFlow__20260418_071755_UTC.csv,CBPF,Direct funding,198,0,0.0,198
AllocationFlow__20260418_071755_UTC.csv,CBPF,Net funding,198,0,0.0,198
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Year,18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,CBPF Name,18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Total Allocation,18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Allocation (INGO),18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Allocation (NNGO),18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Allocation (Red Cross),18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Allocation (UN),18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Reserve Allocation (INGO),18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Reserve Allocation (NNGO),18,0,0.0,18
