agencyName,continentName,countryName,dateUSGSignature,emergencyTypeName,regionName,totalAmountApproved,year,projectsectors,CIRV - Prev,CIRV - Inc
World Food Programme,Africa,Chad,2021-09-07,Displacement,Middle Africa,1799979,2021,Food Assistance; Nutrition,"62,4","0,04"
World Food Programme,Africa,Chad,2021-09-08,Displacement,Middle Africa,802480,2021,Common Services,"62,4","0,04"
United Nations High Commissioner for Refugees,Africa,Chad,2021-09-01,Displacement,Middle Africa,298671,2021,Shelter and Non-Food Items,"62,4","0,04"
International Organization for Migration,Africa,Burkina Faso,2021-09-24,Displacement,Western Africa,500000,2021,Shelter and Non-Food Items,"56,3","0,12"
Food and Agriculture Organization,Africa,Madagascar,2021-08-25,Drought,Eastern Africa,1450000,2021,Agriculture,"47,6","0,03"
World Health Organization,Africa,Madagascar,2021-08-25,Drought,Eastern Africa,500000,2021,Health,"47,6","0,03"
United Nations Population Fund,Africa,Madagascar,2021-08-25,Drought,Eastern Africa,500000,2021,Health; Protection,"47,6","0,03"
World Food Programme,Africa,Madagascar,2021-08-25,Drought,Eastern Africa,4500000,2021,Food Assistance; Nutrition,"47,6","0,03"
United Nations Children’s Fund,Africa,Madagascar,2021-08-25,Drought,Eastern Africa,1050000,2021,Nutrition; Protection,"47,6","0,03"
United Nations Population Fund,Africa,Burkina Faso,2021-09-28,Displacement,Western Africa,500021,2021,Protection,"56,3","0,12"
United Nations High Commissioner for Refugees,Africa,Burkina Faso,2021-09-28,Displacement,Western Africa,1500000,2021,Shelter and Non-Food Items; Camp Coordination and Camp Management,"56,3","0,12"
World Food Programme,Africa,Burkina Faso,2021-09-28,Displacement,Western Africa,2000000,2021,Food Assistance,"56,3","0,12"
