agencyName,continentName,countryName,dateUSGSignature,emergencyTypeName,regionName,totalAmountApproved,year,projectsectors,CIRV - Prev,CIRV - Inc
World Health Organization,Americas,Venezuela,2019-09-27,Displacement,Latin America and the Caribbean,2804717,2019,Health,39,"0,39"
United Nations Population Fund,Americas,Venezuela,2019-10-03,Displacement,Latin America and the Caribbean,1912760,2019,Health; Protection; Water; Sanitation and Hygiene,39,"0,39"
United Nations Children’s Fund,Africa,Republic of the Sudan,2019-10-07,Multiple Emergencies,Northern Africa,5624990,2019,Health; Nutrition; Water; Sanitation and Hygiene; Education; Protection,11,"0,20"
United Nations Population Fund,Africa,Republic of the Sudan,2019-09-27,Multiple Emergencies,Northern Africa,1340070,2019,Health; Protection,11,"0,20"
Food and Agriculture Organization,Africa,Republic of the Sudan,2019-10-03,Multiple Emergencies,Northern Africa,2000000,2019,Agriculture,11,"0,20"
United Nations High Commissioner for Refugees,Africa,Republic of the Sudan,2019-11-01,Multiple Emergencies,Northern Africa,503530,2019,Protection,11,"0,20"
World Food Programme,Africa,Republic of the Sudan,2019-09-27,Multiple Emergencies,Northern Africa,1800117,2019,Nutrition,11,"0,20"
World Health Organization,Africa,Republic of the Sudan,2019-10-03,Multiple Emergencies,Northern Africa,2734887,2019,Health; Nutrition; Water; Sanitation and Hygiene,11,"0,20"
Food and Agriculture Organization,Africa,Burkina Faso,2019-10-04,Displacement,Western Africa,650000,2019,Agriculture,"37,7","0,03"
United Nations High Commissioner for Refugees,Africa,Burkina Faso,2019-09-27,Displacement,Western Africa,1600000,2019,Protection; Shelter and Non-Food Items,"37,7","0,03"
International Organization for Migration,Africa,Burkina Faso,2019-09-25,Displacement,Western Africa,699801,2019,Protection; Shelter and Non-Food Items,"37,7","0,03"
United Nations Population Fund,Africa,Burkina Faso,2019-10-03,Displacement,Western Africa,412093,2019,Protection; Health,"37,7","0,03"
United Nations Children’s Fund,Africa,Burkina Faso,2019-09-27,Displacement,Western Africa,1700000,2019,Water; Sanitation and Hygiene; Health; Protection,"37,7","0,03"
World Food Programme,Africa,Burkina Faso,2019-10-01,Displacement,Western Africa,350020,2019,Agriculture,"37,7","0,03"
World Health Organization,Africa,Burkina Faso,2019-10-07,Displacement,Western Africa,599969,2019,Health,"37,7","0,03"
United Nations Children’s Fund,Africa,Cameroon,2019-10-03,Displacement,Middle Africa,999993,2019,Education,"68,6","0,07"
