Country,AllocationYear,AllocationSourceName,OrganizationType,ProjectDuration (Months),Budget,Projectsector,Total People,CIRV - Prev,CIVR - Inc
Afghanistan,2017,Reserve,International NGO,2 ,102640.61,"[""Protection""]",140000,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,12,2125691.55,"[""Education"", ""Emergency Shelter and Non-Food Items"", ""Protection""]",20989,"70,2","-0,06"
Afghanistan,2017,Standard,National NGO,12,463266.3,"[""Health""]",21932,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,13,550889.55,"[""Education""]",4800,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,12,719215.74,"[""Health"", ""Protection""]",12172,"70,2","-0,06"
Afghanistan,2017,Standard,UN Agency,12,384761.0,"[""Health""]",300000,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,12,248685.58,"[""Health""]",33935,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,10,1185709.59,"[""Health""]",24010,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,11,477390.63,"[""Education""]",5385,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,10,734470.95,"[""Education"", ""Emergency Shelter and Non-Food Items"", ""Water, Sanitation and Hygiene (WASH)""]",15254,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,6 ,284780.39,"[""Emergency Shelter and Non-Food Items""]",11200,"70,2","-0,06"
Afghanistan,2017,Standard,National NGO,6 ,527889.85,"[""Protection""]",252746,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,12,480000.0,"[""Health""]",89761,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,6 ,784454.01,"[""Water, Sanitation and Hygiene (WASH)""]",70000,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,6 ,420000.01,"[""Camp Coordination""]",10644,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,8 ,501002.6,"[""Food Security"", ""Protection""]",10515,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,7 ,642829.23,"[""Logistics""]",175,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,14,584551.65,"[""Nutrition""]",55888,"70,2","-0,06"
Afghanistan,2017,Standard,National NGO,6 ,269952.11,"[""Water, Sanitation and Hygiene (WASH)""]",27965,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,6 ,363770.92,"[""Camp Coordination""]",7350,"70,2","-0,06"
Afghanistan,2017,Standard,National NGO,6 ,362926.84,"[""Protection""]",208200,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,12,629861.18,"[""Nutrition""]",26892,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,6 ,491637.98,"[""Emergency Shelter and Non-Food Items"", ""Food Security""]",11910,"70,2","-0,06"
Afghanistan,2017,Standard,UN Agency,12,2293570.04,"[""Health"", ""Logistics""]",550571,"70,2","-0,06"
Afghanistan,2017,Standard,UN Agency,12,2294574.43,"[""Nutrition""]",33000,"70,2","-0,06"
Afghanistan,2017,Standard,UN Agency,14,3110556.6,"[""Nutrition""]",49759,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,12,1477694.04,"[""Food Security"", ""Protection"", ""Water, Sanitation and Hygiene (WASH)""]",485960,"70,6","0,06"
Afghanistan,2017,Standard,International NGO,13,1619973.93,"[""Health"", ""Protection""]",47881,"70,6","0,06"
Afghanistan,2017,Standard,National NGO,12,701422.4,"[""Health"", ""Nutrition"", ""Protection""]",21764,"70,6","0,06"
Afghanistan,2017,Standard,International NGO,9 ,689268.53,"[""Health"", ""Protection""]",46426,"70,6","0,06"
Afghanistan,2017,Standard,National NGO,12,1167084.31,"[""Education"", ""Food Security"", ""Water, Sanitation and Hygiene (WASH)""]",25817,"70,6","0,06"
Afghanistan,2017,Standard,International NGO,13,842059.0,"[""Health"", ""Protection"", ""Water, Sanitation and Hygiene (WASH)""]",89131,"70,6","0,06"
Afghanistan,2017,Standard,National NGO,6 ,693938.6,"[""Emergency Shelter and Non-Food Items"", ""Food Security"", ""Protection""]",66192,"70,6","0,06"
Afghanistan,2017,Standard,National NGO,12,860880.27,"[""Health"", ""Protection""]",31769,"70,6","0,06"
Afghanistan,2017,Standard,International NGO,6 ,438415.72,"[""Food Security"", ""Protection"", ""Water, Sanitation and Hygiene (WASH)""]",5250,"70,6","0,06"
Afghanistan,2017,Standard,International NGO,12,1035554.56,"[""Health"", ""Nutrition"", ""Protection""]",174942,"70,6","0,06"
Afghanistan,2017,Standard,National NGO,12,564813.47,"[""Health"", ""Nutrition"", ""Protection""]",37978,"70,6","0,06"
Afghanistan,2017,Standard,National NGO,6 ,399916.23,"[""Protection""]",385740,"70,6","0,06"
Afghanistan,2017,Standard,National NGO,6 ,832358.41,"[""Food Security"", ""Protection"", ""Water, Sanitation and Hygiene (WASH)""]",43756,"70,6","0,06"
Afghanistan,2017,Standard,National NGO,6 ,374122.29,"[""Protection""]",316663,"70,6","0,06"
Afghanistan,2017,Standard,UN Agency,12,4376621.51,"[""Health"", ""Nutrition"", ""Protection"", ""Water, Sanitation and Hygiene (WASH)""]",1113544,"70,6","0,06"
Afghanistan,2017,Standard,International NGO,12,683530.25,"[""Nutrition"", ""Protection"", ""Water, Sanitation and Hygiene (WASH)""]",57915,"70,6","0,06"
Afghanistan,2017,Standard,International NGO,7 ,575080.93,"[""Logistics"", ""Protection""]",48,"70,6","0,06"
Afghanistan,2017,Standard,International NGO,15,722150.0,"[""Health"", ""Nutrition"", ""Protection""]",19900,"70,6","0,06"
Afghanistan,2017,Standard,International NGO,11,979758.29,"[""Food Security"", ""Health"", ""Protection"", ""Water, Sanitation and Hygiene (WASH)""]",49218,"70,6","0,06"
Afghanistan,2017,Standard,National NGO,12,819341.8,"[""Emergency Shelter and Non-Food Items"", ""Protection"", ""Water, Sanitation and Hygiene (WASH)""]",22650,"70,6","0,06"
Afghanistan,2017,Reserve,UN Agency,6 ,46897.84,"[""Health""]",78958,"70,6","0,06"
Afghanistan,2017,Reserve,UN Agency,12,2501675.52,"[""Nutrition""]",45082,"70,6","0,06"
Afghanistan,2017,Reserve,International NGO,6 ,380803.37,"[""Health""]",9736,"70,6","0,06"
Afghanistan,2017,Reserve,International NGO,6 ,400000.0,"[""Food Security""]",10500,"70,6","0,06"
Afghanistan,2017,Reserve,UN Agency,5 ,668178.11,"[""Protection""]",9000,"70,6","0,06"
CAR,2017,Reserve,International NGO,6 ,200000.12,"[""Health""]",12200,"59,8","0,01"
CAR,2017,Reserve,UN Agency,9 ,499999.98,"[""Protection"", ""Water, Sanitation and Hygiene (WASH)""]",24300,"59,8","0,01"
CAR,2017,Reserve,UN Agency,9 ,600000.0,"[""Other""]",25000,"59,8","0,01"
CAR,2017,Reserve,UN Agency,6 ,749999.57,"[""Camp Coordination"", ""Emergency Shelter and Non-Food Items"", ""Protection""]",35240,"59,8","0,01"
CAR,2017,Reserve,International NGO,9 ,418164.57,"[""Logistics""]",33,"59,8","0,01"
CAR,2017,Reserve,International NGO,8 ,199999.35,"[""Water, Sanitation and Hygiene (WASH)""]",13495,"59,8","0,01"
CAR,2017,Reserve,International NGO,9 ,350000.0,"[""Logistics""]",1761,"59,8","0,01"
CAR,2017,Reserve,International NGO,11,367847.01,"[""Water, Sanitation and Hygiene (WASH)""]",32000,"59,8","0,01"
CAR,2017,Reserve,International NGO,11,276000.01,"[""Emergency Shelter and Non-Food Items""]",1250,"59,8","0,01"
CAR,2017,Reserve,International NGO,10,276000.01,"[""Early Recovery"", ""Emergency Shelter and Non-Food Items""]",1650,"59,8","0,01"
CAR,2017,Reserve,International NGO,5 ,368000.0,"[""Health""]",24500,"59,8","0,01"
CAR,2017,Reserve,UN Agency,6 ,120000.0,"[""Water, Sanitation and Hygiene (WASH)""]",240000,"59,8","0,01"
CAR,2017,Reserve,National NGO,6 ,133197.67,"[""Camp Coordination""]",15809,"62,3","0,05"
CAR,2017,Reserve,International NGO,7 ,300000.07,"[""Water, Sanitation and Hygiene (WASH)""]",69499,"62,3","0,05"
CAR,2017,Standard,International NGO,10,580000.38,"[""Logistics""]",32,"59,8","0,01"
CAR,2017,Standard,International NGO,9 ,549994.23,"[""Education"", ""Protection""]",8513,"59,8","0,01"
CAR,2017,Standard,International NGO,12,549998.84,"[""Early Recovery""]",11500,"59,8","0,01"
CAR,2017,Standard,International NGO,9 ,250000.15,"[""Health""]",25899,"59,8","0,01"
CAR,2017,Standard,International NGO,9 ,450000.0,"[""Protection""]",6416,"59,8","0,01"
CAR,2017,Standard,International NGO,9 ,349948.85,"[""Nutrition""]",34147,"59,8","0,01"
CAR,2017,Standard,UN Agency,11,600000.36,"[""Education"", ""Protection""]",12233,"59,8","0,01"
CAR,2017,Standard,UN Agency,5 ,500118.0,"[""Logistics""]",1200,"59,8","0,01"
CAR,2017,Standard,National NGO,12,323266.0,"[""Early Recovery"", ""Food Security""]",6000,"59,8","0,01"
CAR,2017,Standard,National NGO,8 ,49998.96,"[""Education"", ""Protection""]",8325,"59,8","0,01"
CAR,2017,Standard,International NGO,8 ,187961.55,"[""Health"", ""Nutrition""]",2940,"59,8","0,01"
CAR,2017,Standard,International NGO,12,120000.07,"[""Health"", ""Nutrition""]",95,"59,8","0,01"
CAR,2017,Standard,International NGO,9 ,307959.34,"[""Emergency Shelter and Non-Food Items""]",2851,"59,8","0,01"
CAR,2017,Standard,UN Agency,11,400000.0,"[""Water, Sanitation and Hygiene (WASH)""]",10000,"59,8","0,01"
CAR,2017,Standard,International NGO,12,120000.0,"[""Protection""]",225,"59,8","0,01"
CAR,2017,Standard,International NGO,9 ,349999.87,"[""Water, Sanitation and Hygiene (WASH)""]",12000,"59,8","0,01"
CAR,2017,Standard,International NGO,11,390000.0,"[""Logistics""]",20,"59,8","0,01"
CAR,2017,Standard,International NGO,9 ,600000.01,"[""Health"", ""Nutrition""]",29574,"59,8","0,01"
CAR,2017,Standard,International NGO,14,120000.0,"[""Water, Sanitation and Hygiene (WASH)""]",54,"59,8","0,01"
CAR,2017,Standard,National NGO,8 ,50000.0,"[""Water, Sanitation and Hygiene (WASH)""]",19000,"59,8","0,01"
CAR,2017,Standard,International NGO,10,399999.99,"[""Early Recovery"", ""Food Security""]",2350,"59,8","0,01"
CAR,2017,Standard,International NGO,12,120000.0,"[""Food Security""]",70,"59,8","0,01"
CAR,2017,Standard,UN Agency,9 ,445955.49,"[""Early Recovery""]",1560,"59,8","0,01"
CAR,2017,Standard,International NGO,9 ,250000.01,"[""Protection""]",30000,"59,8","0,01"
CAR,2017,Standard,International NGO,10,550000.0,"[""Other""]",10000,"59,8","0,01"
CAR,2017,Reserve,International NGO,3 ,247662.52,"[""Health"", ""Nutrition""]",15144,"62,3","0,05"
CAR,2017,Reserve,International NGO,3 ,259343.39,"[""Health"", ""Nutrition""]",6015,"62,3","0,05"
CAR,2017,Reserve,UN Agency,3 ,142611.21,"[""Camp Coordination"", ""Protection""]",38142,"62,3","0,05"
CAR,2017,Reserve,International NGO,6 ,449999.39,"[""Protection"", ""Water, Sanitation and Hygiene (WASH)""]",27276,"62,3","0,05"
CAR,2017,Reserve,International NGO,4 ,366646.85,"[""Water, Sanitation and Hygiene (WASH)""]",24000,"62,3","0,05"
CAR,2017,Reserve,International NGO,8 ,433000.0,"[""Water, Sanitation and Hygiene (WASH)""]",7500,"62,3","0,05"
CAR,2017,Reserve,UN Agency,7 ,653995.77,"[""Logistics""]",40,"62,3","0,05"
CAR,2017,Standard,International NGO,6 ,249956.28,"[""Education"", ""Protection""]",2774,"62,3","0,05"
CAR,2017,Standard,National NGO,12,320000.62,"[""Food Security""]",9400,"62,3","0,05"
CAR,2017,Standard,International NGO,10,400000.0,"[""Nutrition"", ""Water, Sanitation and Hygiene (WASH)""]",21645,"62,3","0,05"
CAR,2017,Standard,International NGO,10,249986.24,"[""Health"", ""Nutrition""]",13656,"62,3","0,05"
CAR,2017,Standard,International NGO,6 ,340666.6,"[""Water, Sanitation and Hygiene (WASH)""]",18000,"62,3","0,05"
CAR,2017,Standard,International NGO,9 ,299999.99,"[""Protection""]",15650,"62,3","0,05"
CAR,2017,Standard,International NGO,13,649879.87,"[""Food Security"", ""Protection""]",15803,"62,3","0,05"
CAR,2017,Standard,International NGO,9 ,319967.72,"[""Health"", ""Nutrition""]",29467,"62,3","0,05"
CAR,2017,Standard,International NGO,12,530000.33,"[""Emergency Shelter and Non-Food Items"", ""Food Security"", ""Protection""]",12621,"62,3","0,05"
CAR,2017,Standard,International NGO,11,300000.0,"[""Emergency Shelter and Non-Food Items""]",1500,"62,3","0,05"
CAR,2017,Standard,National NGO,8 ,50001.1,"[""Food Security""]",500,"62,3","0,05"
CAR,2017,Standard,International NGO,9 ,300000.0,"[""Protection""]",9600,"62,3","0,05"
CAR,2017,Standard,International NGO,10,350006.42,"[""Education""]",16270,"62,3","0,05"
CAR,2017,Standard,International NGO,7 ,500000.01,"[""Early Recovery""]",3064,"62,3","0,05"
CAR,2017,Standard,UN Agency,11,400001.14,"[""Education"", ""Protection""]",3044,"62,3","0,05"
CAR,2017,Standard,International NGO,9 ,549997.89,"[""Health"", ""Nutrition"", ""Water, Sanitation and Hygiene (WASH)""]",25771,"62,3","0,05"
CAR,2017,Standard,International NGO,10,305855.01,"[""Education"", ""Protection""]",10820,"62,3","0,05"
Colombia,2017,Reserve,International NGO,6 ,150000.0,"[""Education"", ""Protection""]",3200,"45,3","-0,01"
Colombia,2017,Reserve,National NGO,7 ,150000.0,"[""Protection""]",327,"45,3","-0,01"
Colombia,2017,Reserve,National NGO,7 ,150000.0,"[""Emergency Shelter and Non-Food Items""]",2000,"45,3","-0,01"
Colombia,2017,Reserve,National NGO,6 ,119645.62,"[""Protection""]",224,"44,3","-0,01"
Colombia,2017,Standard,International NGO,7 ,147973.85,"[""Protection""]",1850,"44,3","-0,01"
Colombia,2017,Standard,National NGO,7 ,150000.0,"[""Early Recovery"", ""Health"", ""Water, Sanitation and Hygiene (WASH)""]",3078,"44,3","-0,01"
Colombia,2017,Standard,National NGO,7 ,149998.7,"[""Early Recovery"", ""Health"", ""Water, Sanitation and Hygiene (WASH)""]",1840,"44,3","-0,01"
Colombia,2017,Standard,International NGO,8 ,150000.0,"[""Nutrition"", ""Water, Sanitation and Hygiene (WASH)""]",2560,"44,3","-0,01"
DRC,2017,Reserve,International NGO,6 ,350000.0,"[""Early Recovery"", ""Education""]",19498,"23,5","0,14"
DRC,2017,Reserve,National NGO,6 ,175008.13,"[""Protection""]",31295,"23,5","0,14"
DRC,2017,Reserve,National NGO,6 ,450000.27,"[""Emergency Shelter and Non-Food Items"", ""Food Security""]",32462,"23,5","0,14"
DRC,2017,Reserve,National NGO,6 ,199983.0,"[""Protection""]",1368,"23,5","0,14"
DRC,2017,Reserve,National NGO,7 ,850000.51,"[""Emergency Shelter and Non-Food Items""]",40000,"23,5","0,14"
DRC,2017,Standard,International NGO,25,1838186.01,"[""Other""]",44085,"23,5","0,14"
DRC,2017,Standard,National NGO,25,1628349.74,"[""Other""]",5120,"23,5","0,14"
DRC,2017,Standard,International NGO,24,533009.71,"[""Other""]",19328,"23,5","0,14"
DRC,2017,Reserve,International NGO,12,1591397.59,"[""Logistics"", ""Protection""]",2785,"23,5","0,14"
DRC,2017,Reserve,UN Agency,9 ,1318921.76,"[""Logistics""]",15,"23,5","0,14"
DRC,2017,Reserve,National NGO,7 ,300000.18,"[""Protection""]",34400,"22,3","0,14"
DRC,2017,Reserve,International NGO,10,650001.35,"[""Education"", ""Protection""]",21020,"22,3","0,14"
DRC,2017,Reserve,International NGO,13,500000.0,"[""Protection""]",3552,"22,3","0,14"
DRC,2017,Reserve,National NGO,11,948930.04,"[""Education"", ""Protection""]",10332,"22,3","0,14"
DRC,2017,Reserve,UN Agency,12,3749219.03,"[""Nutrition""]",67000,"22,3","0,14"
DRC,2017,Reserve,UN Agency,2 ,600002.87,"[""Logistics""]",1200,"22,3","0,14"
DRC,2017,Reserve,International NGO,8 ,609999.53,"[""Logistics""]",43200,"22,3","0,14"
DRC,2017,Reserve,National NGO,6 ,395012.0,"[""Food Security""]",16800,"22,3","0,14"
DRC,2017,Reserve,National NGO,6 ,1500000.0,"[""Emergency Shelter and Non-Food Items""]",63000,"22,3","0,14"
DRC,2017,Reserve,International NGO,7 ,699999.97,"[""Food Security""]",13200,"22,3","0,14"
DRC,2017,Reserve,International NGO,8 ,1397039.29,"[""Emergency Shelter and Non-Food Items""]",50930,"22,3","0,14"
DRC,2017,Reserve,National NGO,8 ,635783.88,"[""Water, Sanitation and Hygiene (WASH)""]",63283,"22,3","0,14"
DRC,2017,Reserve,International NGO,6 ,474098.08,"[""Protection""]",4718,"22,3","0,14"
DRC,2017,Reserve,National NGO,5 ,159399.51,"[""Health""]",17711,"22,3","0,14"
DRC,2017,Reserve,International NGO,9 ,355602.73,"[""Logistics""]",400,"22,3","0,14"
DRC,2017,Reserve,National NGO,6 ,1558990.0,"[""Emergency Shelter and Non-Food Items"", ""Food Security"", ""Protection""]",40000,"22,3","0,14"
DRC,2017,Reserve,National NGO,6 ,359529.63,"[""Water, Sanitation and Hygiene (WASH)""]",29960,"22,3","0,14"
DRC,2017,Reserve,International NGO,6 ,696925.24,"[""Food Security""]",4400,"22,3","0,14"
DRC,2017,Reserve,International NGO,8 ,700000.69,"[""Food Security""]",26250,"22,3","0,14"
DRC,2017,Reserve,National NGO,6 ,66000.28,"[""Protection""]",660,"22,3","0,14"
DRC,2017,Reserve,International NGO,8 ,849600.0,"[""Health""]",38099,"22,3","0,14"
DRC,2017,Reserve,National NGO,6 ,1199018.46,"[""Food Security""]",48000,"22,3","0,14"
DRC,2017,Reserve,National NGO,6 ,800000.03,"[""Food Security""]",24250,"22,3","0,14"
DRC,2017,Reserve,National NGO,6 ,499901.33,"[""Food Security""]",21000,"22,3","0,14"
DRC,2017,Reserve,National NGO,6 ,500000.05,"[""Food Security""]",26923,"22,3","0,14"
DRC,2017,Reserve,International NGO,7 ,276740.52,"[""Nutrition""]",4400,"22,3","0,14"
DRC,2017,Reserve,National NGO,6 ,700000.0,"[""Water, Sanitation and Hygiene (WASH)""]",66553,"22,3","0,14"
DRC,2017,Reserve,International NGO,6 ,1000000.23,"[""Food Security""]",18000,"22,3","0,14"
DRC,2017,Reserve,National NGO,6 ,800000.08,"[""Food Security""]",11322,"22,3","0,14"
DRC,2017,Reserve,International NGO,7 ,1437733.81,"[""Food Security""]",19802,"22,3","0,14"
DRC,2017,Reserve,International NGO,20,1300000.0,"[""Emergency Shelter and Non-Food Items"", ""Food Security""]",119352,"22,3","0,14"
DRC,2017,Reserve,International NGO,6 ,700000.0,"[""Early Recovery"", ""Food Security""]",15927,"22,3","0,14"
DRC,2017,Reserve,International NGO,11,474042.1,"[""Early Recovery"", ""Protection""]",111000,"22,3","0,14"
Ethiopia,2017,Standard,UN Agency,12,1500000.0,"[""Health""]",165000,"65,1","0,09"
Ethiopia,2017,Standard,UN Agency,5 ,2524027.87,"[""Water, Sanitation and Hygiene (WASH)""]",892726,"62,3","-0,07"
Ethiopia,2017,Standard,UN Agency,6 ,900004.39,"[""Early Recovery""]",105000,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,7 ,499967.61,"[""Early Recovery""]",18425,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,8 ,497154.5,"[""Early Recovery""]",9060,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,7 ,200000.8,"[""Protection""]",10000,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,7 ,632750.96,"[""Early Recovery""]",16941,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,6 ,970000.0,"[""Early Recovery"", ""Health""]",26854,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,6 ,502043.06,"[""Early Recovery""]",119400,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,6 ,349958.61,"[""Water, Sanitation and Hygiene (WASH)""]",80162,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,8 ,449592.97,"[""Water, Sanitation and Hygiene (WASH)""]",33410,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,8 ,526848.63,"[""Early Recovery""]",7860,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,4 ,2500000.08,"[""Water, Sanitation and Hygiene (WASH)""]",190568,"65,1","0,09"
Ethiopia,2017,Standard,National NGO,7 ,530035.31,"[""Early Recovery""]",31109,"65,1","0,09"
Ethiopia,2017,Standard,UN Agency,6 ,416110.89,"[""Health""]",200968,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,6 ,300000.0,"[""Health""]",24390,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,6 ,497370.45,"[""Early Recovery""]",25410,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,12,499968.35,"[""Water, Sanitation and Hygiene (WASH)""]",58167,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,8 ,547791.33,"[""Nutrition""]",8543,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,8 ,431313.81,"[""Nutrition""]",25001,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,9 ,1165009.95,"[""Nutrition""]",74113,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,9 ,359073.91,"[""Nutrition""]",11072,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,7 ,307938.95,"[""Nutrition""]",7722,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,6 ,499963.8,"[""Early Recovery""]",12660,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,6 ,510273.13,"[""Early Recovery""]",44550,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,7 ,435787.79,"[""Nutrition""]",6663,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,10,644038.91,"[""Nutrition""]",107337,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,9 ,125010.08,"[""Protection""]",14821,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,7 ,1012719.93,"[""Water, Sanitation and Hygiene (WASH)""]",100502,"65,1","0,09"
Ethiopia,2017,Standard,UN Agency,12,1000000.62,"[""Nutrition""]",13300,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,8 ,278840.02,"[""Nutrition""]",8812,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,8 ,275894.09,"[""Nutrition""]",9495,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,10,499994.39,"[""Health"", ""Water, Sanitation and Hygiene (WASH)""]",18870,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,6 ,306670.72,"[""Nutrition""]",15780,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,9 ,164935.21,"[""Protection""]",23438,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,9 ,300000.0,"[""Protection""]",63163,"65,1","0,09"
Ethiopia,2017,Standard,National NGO,4 ,250791.63,"[""Food Security""]",11598,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,6 ,260314.88,"[""Health""]",48000,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,6 ,321600.0,"[""Emergency Shelter and Non-Food Items""]",31922,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,8 ,299983.86,"[""Protection""]",26261,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,12,696775.6,"[""Water, Sanitation and Hygiene (WASH)""]",111124,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,10,680623.47,"[""Nutrition""]",11560,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,8 ,279786.45,"[""Nutrition""]",4613,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,9 ,755718.85,"[""Food Security""]",64920,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,5 ,195293.19,"[""Early Recovery""]",5600,"65,1","0,09"
Ethiopia,2017,Standard,UN Agency,6 ,1499209.69,"[""Water, Sanitation and Hygiene (WASH)""]",256000,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,7 ,220032.98,"[""Nutrition"", ""Water, Sanitation and Hygiene (WASH)""]",7479,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,4 ,249999.57,"[""Food Security""]",5400,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,7 ,249999.87,"[""Food Security""]",5100,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,4 ,250537.13,"[""Early Recovery""]",9060,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,7 ,280273.39,"[""Nutrition""]",3406,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,4 ,185000.0,"[""Food Security""]",6875,"65,1","0,09"
Ethiopia,2017,Standard,UN Agency,3 ,499998.35,"[""Logistics""]",700000,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,9 ,549798.08,"[""Nutrition""]",45251,"65,1","0,09"
Ethiopia,2017,Standard,UN Agency,6 ,676501.12,"[""Emergency Shelter and Non-Food Items""]",28752,"65,1","0,09"
Ethiopia,2017,Standard,UN Agency,4 ,1590284.29,"[""Health""]",5748997,"65,1","0,09"
Ethiopia,2017,Standard,UN Agency,7 ,1212561.45,"[""Nutrition""]",106000,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,6 ,1000000.0,"[""Water, Sanitation and Hygiene (WASH)""]",141500,"65,1","0,09"
Ethiopia,2017,Standard,International NGO,5 ,1199328.89,"[""Health""]",19000,"65,1","0,09"
Ethiopia,2017,Standard,UN Agency,6 ,8001088.32,"[""Nutrition""]",284527,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,10,600000.04,"[""Food Security""]",25410,"62,3","-0,07"
Ethiopia,2017,Standard,UN Agency,6 ,2932999.63,"[""Water, Sanitation and Hygiene (WASH)""]",4448000,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,14,685067.43,"[""Water, Sanitation and Hygiene (WASH)""]",129314,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,5 ,326199.89,"[""Nutrition""]",2260,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,12,2400135.81,"[""Water, Sanitation and Hygiene (WASH)""]",150000,"62,3","-0,07"
Ethiopia,2017,Standard,UN Agency,9 ,1697471.11,"[""Health""]",180000,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,11,752259.09,"[""Health"", ""Water, Sanitation and Hygiene (WASH)""]",48989,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,9 ,250000.05,"[""Food Security""]",17255,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,8 ,502061.12,"[""Food Security""]",78300,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,12,1097498.24,"[""Health"", ""Nutrition""]",83784,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,8 ,1000309.46,"[""Emergency Shelter and Non-Food Items""]",24223,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,12,988672.31,"[""Education""]",7663,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,6 ,430983.61,"[""Nutrition""]",27057,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,9 ,269514.91,"[""Protection""]",7696,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,8 ,496166.77,"[""Water, Sanitation and Hygiene (WASH)""]",28000,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,4 ,151883.22,"[""Nutrition""]",6553,"62,3","-0,07"
Ethiopia,2017,Standard,UN Agency,11,2853725.65,"[""Health""]",180000,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,5 ,350000.0,"[""Food Security""]",6972,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,6 ,499932.42,"[""Food Security""]",13200,"62,3","-0,07"
Ethiopia,2017,Standard,UN Agency,12,600005.71,"[""Food Security""]",178962,"62,3","-0,07"
Ethiopia,2017,Standard,UN Agency,9 ,2991685.01,"[""Health""]",4000000,"62,3","-0,07"
Ethiopia,2017,Standard,International NGO,4 ,249999.87,"[""Food Security""]",5100,"62,3","-0,07"
