General Information ;;;I. INFORM Risk;;II. Global Crisis Severity Index;;III. Multi-Indicator Component;;;;;;;;;;;;;;; CIRV ;;
;;;INFORM score;CERF-INFORM GRI score; GSCI ;CERF-INFORM GCSI score; A. IASC Early Warning, Early Action & Readiness Report;;;B. Food Insecurity;;;;;;;;C. Conflict;;;E. CERF- Multi-Indicator Consolidated;;;
Country ;ISO3 Country Code;Country with FTS-tracked HNRP or equivalent plan/appeal ;;;;;IASC Early Warning - Seriousness;IASC Early Warning - Type;IASC Early Warning - Score;FEWSNet Food Assistance Outlook Brief (projected IPC data not available);Global Report on Food Crises 2025 (0-5);Global Report on Food Crises (time period);IPC Classification;FAO Crop Prospects and Food Situation (July 2025);FAO Crop Prospects and Food Situation (July 2025);State of Food Insecurity Report - Prevalence of moderate or severe food insecurity 2025 (0-100);CERF Food Insecurity;CERF Change of Conflict;ACLED Fatalities last year;CERF - Conflict consolidated;; CIRV - CERF Index for Risk and Vulnerability (without Inform Severity) ; CIRV (Incl Inform Severity) ; CIRV (Adjusted) 
Colombia;COL;Yes; 5,3 ; 53 ;4,00; 80 ;Moderate;Economic instability;33;0;0;0;0;0;0;27,8;6;0,00;2,73;1,37;13 ; 33,15 ; 48,77 ; 49 
Comoros;COM;; 3,3 ; 33 ;;;;;;0;0;0;0;0;0;79,7;16;0,00;0,00;0,00;5 ; 19,16 ; 12,77 ; 19 
Congo;COG;; 5,0 ; 50 ;;;;;;0;0;0;0;0;0;0;0;0,00;0,02;0,01;0 ; 25,00 ; 16,67 ; 25 
Congo DR;COD;Yes; 8,1 ; 81 ;4,50; 90 ;High;Conflict and displacement;67;0;4;0;4;2;Access;81,5;84;8,33;7,66;8,00;53 ; 67,05 ; 74,70 ; 75 
Costa Rica;CRI;; 3,3 ; 33 ;2,00; 40 ;;;;0;0;0;0;0;0;15,4;3;0,00;0,01;0,01;1 ; 17,01 ; 24,68 ; 25 
Côte d'Ivoire;CIV;; 4,9 ; 49 ;2,10; 42 ;;;;0;3;0;3;0;0;38,4;44;8,33;0,00;4,17;16 ; 32,47 ; 35,65 ; 36 
Cuba;CUB;; 3,3 ; 33 ;;;High;Hurricanes;67;0;0;0;0;0;0;0;0;0,00;0,01;0,01;22 ; 27,67 ; 18,45 ; 28 
Djibouti;DJI;; 5,0 ; 50 ;2,50; 50 ;;;;0;4;0;4;2;Access;49,2;78;0,00;0,07;0,04;26 ; 37,98 ; 41,99 ; 42 
Dominica;DMA;; 2,8 ; 28 ;;;;;;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0 ; 14,00 ; 9,33 ; 14 
Dominican Republic;DOM;; 4,3 ; 43 ;2,00; 40 ;;;;0;4;0;4;0;0;43,8;57;0,00;0,03;0,02;19 ; 30,96 ; 33,98 ; 34 
Ecuador;ECU;; 5,4 ; 54 ;3,30; 66 ;;;;0;0;0;0;0;0;33,3;7;0,00;4,68;2,34;3 ; 28,50 ; 41,00 ; 41 
Egypt;EGY;; 4,3 ; 43 ;2,20; 44 ;High;Economic deterioration;67;0;0;0;0;0;0;30,8;6;0,00;0,05;0,03;24 ; 33,70 ; 37,13 ; 37 
El Salvador;SLV;Yes; 4,0 ; 40 ;2,90; 58 ;;;;0;2;0;2;0;0;45,5;33;8,33;0,01;4,17;12 ; 26,21 ; 36,81 ; 37 
Equatorial Guinea;GNQ;; 3,4 ; 34 ;;;;;;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0 ; 17,00 ; 11,33 ; 17 
Eritrea;ERI;; 4,8 ; 48 ;3,00; 60 ;;;;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0 ; 24,00 ; 36,00 ; 36 
Eswatini;SWZ;; 3,5 ; 35 ;2,30; 46 ;;;;0;4;0;4;2;Localized;59;80;0,00;0,01;0,01;27 ; 30,80 ; 35,87 ; 36 
Ethiopia;ETH;Yes; 7,1 ; 71 ;4,10; 82 ;High;Increased insecurity and influx;67;0;3;0;3;2;Access;61,4;68;0,00;7,59;3,80;46 ; 58,68 ; 66,45 ; 66 
Fiji;FJI;; 3,3 ; 33 ;;;;;;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0 ; 16,50 ; 11,00 ; 17 
Gabon;GAB;; 4,0 ; 40 ;;;;;;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0 ; 20,00 ; 13,33 ; 20 
Gambia;GMB;; 4,2 ; 42 ;;;;;;0;0;0;0;0;0;54,8;11;0,00;0,00;0,00;4 ; 22,83 ; 15,22 ; 23 
Georgia;GEO;; 3,4 ; 34 ;;;;;;0;0;0;0;0;0;26,6;5;0,00;0,00;0,00;2 ; 17,89 ; 11,92 ; 18 
Ghana;GHA;; 4,0 ; 40 ;2,40; 48 ;;;;0;0;0;0;0;0;44,5;9;0,00;0,34;0,17;3 ; 21,51 ; 30,34 ; 30 
Guatemala;GTM;Yes; 5,3 ; 53 ;3,30; 66 ;;;;0;4;0;4;0;0;48,8;58;0,00;0,55;0,28;19 ; 36,17 ; 46,12 ; 46 
Guinea;GIN;; 4,9 ; 49 ;;;;;;0;4;0;4;2;Localized;0;68;8,33;0,03;4,18;24 ; 36,53 ; 24,35 ; 37 
Guinea-Bissau;GNB;; 4,3 ; 43 ;;;;;;0;4;0;4;0;0;0;48;0,00;0,00;0,00;16 ; 29,50 ; 19,67 ; 30 
Guyana;GUY;; 3,9 ; 39 ;;;;;;0;0;0;0;0;0;25,5;5;0,00;0,01;0,01;2 ; 20,35 ; 13,57 ; 20 
Haiti;HTI;Yes; 7,2 ; 72 ;4,50; 90 ;High;Hurricane season;67;0;4;0;4;2;Access;83,2;85;0,00;4,68;2,34;51 ; 61,66 ; 71,11 ; 71 
Honduras;HND;Yes; 5,8 ; 58 ;3,40; 68 ;;;;0;4;0;4;0;0;41,3;56;0,00;0,63;0,32;19 ; 38,43 ; 48,29 ; 48 
India;IND;; 5,5 ; 55 ;2,40; 48 ;High;Displacements from conflict in Myanmar;67,0;0;0;0;0;0;0;0;0;0,00;1,53;0,77;23 ; 38,79 ;41,86; 42 
Indonesia;IDN;; 4,5 ; 45 ;2,50; 50 ;;;;0;0;0;0;0;0;4,5;1;16,67;0,30;8,48;3 ; 24,06 ; 32,71 ; 33 
Iran;IRN;; 6,0 ; 60 ;3,90; 78 ;;;;0;0;0;0;0;0;38,8;8;0,00;0,96;0,48;3 ; 31,37 ; 46,92 ; 47 
Iraq;IRQ;; 5,8 ; 58 ;3,40; 68 ;;;;0;0;0;0;0;0;0;0;0,00;0,90;0,45;0 ; 29,08 ; 42,05 ; 42 
Israel;ISR;; 3,2 ; 32 ;;;;;;0;0;0;0;0;0;9,2;2;0,00;0,11;0,06;1 ; 16,32 ; 10,88 ; 16 
Jamaica;JAM;; 3,1 ; 31 ;;;;;;0;0;0;0;0;0;56,4;11;0,00;0,35;0,18;4 ; 17,41 ; 11,61 ; 17 
Jordan;JOR;; 4,0 ; 40 ;3,00; 60 ;;;;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0 ; 20,00 ; 33,33 ; 33 
Kazakhstan;KAZ;; 2,7 ; 27 ;;;;;;0;0;0;0;0;0;2;0;0,00;0,01;0,01;0 ; 13,57 ; 9,05 ; 14 
Kenya;KEN;; 6,0 ; 60 ;3,30; 66 ;Moderate;Drought and food insecurity;33;0;4;0;4;2;Shortfall;73,9;83;16,67;1,09;8,88;42 ; 50,78 ; 55,85 ; 56 
Kiribati;KIR;; 3,6 ; 36 ;;;;;;0;0;0;0;0;0;42,9;9;0,00;0,00;0,00;3 ; 19,43 ; 12,95 ; 19 
Korea DPR;PRK;; 4,9 ; 49 ;3,70; 74 ;;;;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0 ; 24,50 ; 41,00 ; 41 
Korea Republic of;KOR;; 2,1 ; 21 ;;;;;;0;0;0;0;0;0;5,4;1;0,00;0,00;0,00;0 ; 10,68 ; 7,12 ; 11 
Kuwait;KWT;; 2,7 ; 27 ;;;;;;0;0;0;0;0;0;8,4;2;0,00;0,00;0,00;1 ; 13,78 ; 9,19 ; 14 
Kyrgyzstan;KGZ;; 3,6 ; 36 ;;;;;;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0 ; 18,00 ; 12,00 ; 18 
Lao PDR;LAO;; 3,6 ; 36 ;;;;;;0;0;0;0;0;0;35,6;7;0,00;0,00;0,00;2 ; 19,19 ; 12,79 ; 19 
Lebanon;LBN;; 6,6 ; 66 ;3,80; 76 ;High;Economic deterioration;67;0;3;0;3;2;Access;42,4;64;0,00;3,61;1,81;44 ; 55,21 ; 62,14 ; 62 
Lesotho;LSO;; 4,3 ; 43 ;2,20; 44 ;;;;0;3;0;3;2;Localized;59,9;68;0,00;0,00;0,00;23 ; 32,83 ; 36,55 ; 37 
Liberia;LBR;; 4,9 ; 49 ;;;;;;0;4;0;4;2;Localized;80,8;84;0,00;0,02;0,01;28 ; 38,53 ; 25,69 ; 39 
Libya;LBY;; 5,0 ; 50 ;3,20; 64 ;;;;0;0;0;0;2;Localized;35,1;27;8,33;0,33;4,33;10 ; 30,23 ; 41,48 ; 41 
