file,source_family,column,numeric_count,non_empty_count,numeric_parse_pct,min,p01,p25,p50,p75,p99,max,mean
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,FundTypeId,49,49,100.0,1,1,1,1,1,1,1,1
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,Total,49,49,100.0,100000,172000,3000000,12000000,77800000,176336000,200000000,44401187.76
Allocations__20260418_071733_UTC.csv,CBPF,Year,33,33,100.0,2026,2026,2026,2026,2026,2026,2026,2026
Allocations__20260418_071733_UTC.csv,CBPF,Budget,33,33,100.0,100000,180000,4000000,50000000,100000000,184224000,200000000,60559339.39
CBPFcontributions__20260418_071813_UTC.csv,CBPF,IsTransfer,145,145,100.0,0,0,0,0,0,0,0,0
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Year,145,145,100.0,2026,2026,2026,2026,2026,2026,2026,2026
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Paid Amount,145,145,100.0,0,0,0,846354.17,3567181.93,152800000,200000000,14927046.67
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Pledged Amount,145,145,100.0,0,0,0,0,500000,7821060.35,9976525.82,708883.39
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Total Contributions,145,145,100.0,300,10000,546642.9,2378121.28,4613583.14,152800000,200000000,15635930.06
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Exchange Rate,145,145,100.0,0,0,0,0.8,1,9.38,9.43,1.66
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Paid Amount (Local Currency),145,145,100.0,0,0,0,650000,16999723.93,152800000,200000000,18337892.45
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Pledged Amount (Local Currency),145,145,100.0,0,0,0,0,500000,9340000,15000000,824206.9
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Total Contributions (Local Currency),145,145,100.0,300,10000,500000,3000000,16999723.93,152800000,200000000,19162099.35
ContributionTrends__20260418_071819_UTC.csv,CBPF,Year,381,381,100.0,1999,2001.8,2012,2018,2023,2027,2028,2017.32
ContributionTrends__20260418_071819_UTC.csv,CBPF,Paid Amount,381,381,100.0,0,0,4928879.9,22247079.29,58974936.93,223661801.1,326995744.92,40380507.46
ContributionTrends__20260418_071819_UTC.csv,CBPF,Pledged Amount,381,381,100.0,0,0,0,0,0,7292049.02,17835202.29,292627
ContributionTrends__20260418_071819_UTC.csv,CBPF,Total Contributions,381,381,100.0,65,222651,5304236.58,22761469.3,58974936.93,233640529.32,326995744.92,40673134.46
ContributionsFlow__20260418_071825_UTC.csv,CBPF,IsTransfer,145,145,100.0,0,0,0,0,0,0,0,0
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Year,145,145,100.0,2026,2026,2026,2026,2026,2026,2026,2026
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Paid Amount,145,145,100.0,0,0,0,846354.17,3567181.93,152800000,200000000,14927046.67
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Pledged Amount,145,145,100.0,0,0,0,0,500000,7821060.35,9976525.82,708883.39
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Total Contributions,145,145,100.0,300,10000,546642.9,2378121.28,4613583.14,152800000,200000000,15635930.06
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Exchange Rate,145,145,100.0,0,0,0,0.8,1,9.38,9.43,1.66
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Paid Amount (Local Currency),145,145,100.0,0,0,0,650000,16999723.93,152800000,200000000,18337892.45
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Pledged Amount (Local Currency),145,145,100.0,0,0,0,0,500000,9340000,15000000,824206.9
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Total Contributions (Local Currency),145,145,100.0,300,10000,500000,3000000,16999723.93,152800000,200000000,19162099.35
GenderAgeMarker__20260418_072032_UTC.csv,CBPF,PooledFundId,35,35,100.0,15,15,23,59,84.5,511.66,512,78.49
GenderAgeMarker__20260418_072032_UTC.csv,CBPF,AllocationYear,35,35,100.0,2026,2026,2026,2026,2026,2026,2026,2026
GenderAgeMarker__20260418_072032_UTC.csv,CBPF,GenderMarkerCode,35,35,100.0,0,0,2,3,4,4,4,2.83
GenderAgeMarker__20260418_072032_UTC.csv,CBPF,TotalProjects,35,35,100.0,1,1,1,2,11,17.66,18,5.37
GenderAgeMarker__20260418_072032_UTC.csv,CBPF,TotalBeneficiaries,35,35,100.0,1000,1194.14,75683.5,502500,1148603,5328209.48,5695895,1018848.63
GenderAgeMarker__20260418_072032_UTC.csv,CBPF,TotalBudget,35,35,100.0,199080.99,233393.45,2507709.46,11501750,43295012.76,163645898.53,167000000.01,32926372.03
SectorsOverview__20260418_071833_UTC.csv,CBPF,Year,97,97,100.0,2026,2026,2026,2026,2026,2026,2026,2026
SectorsOverview__20260418_071833_UTC.csv,CBPF,Total Allocations,97,97,100.0,96300,106555.02,2303929.86,6819138.34,15775000,93758325.81,94080000,12138381.66
SectorsOverview__20260418_071833_UTC.csv,CBPF,Targeted People,97,97,100.0,1000,1088.32,76748,186531,520100,2116334.36,2272319,371376.76
SectorsOverview__20260418_071833_UTC.csv,CBPF,Reached People,97,97,100.0,0,0,0,0,0,11173.8,11769,328.73
cod_population_admin0.csv,COD-PS,Age_min,6315,6315,100.0,0,0,20,40,60,95,100,40.19
cod_population_admin0.csv,COD-PS,Age_max,5944,5944,100.0,0,4,19,39,59.25,94,99,41.74
cod_population_admin0.csv,COD-PS,Population,6722,6722,100.0,0,64.21,15115,159803.5,935322.5,26627253.77,269603430,1834614.5
cod_population_admin0.csv,COD-PS,Reference_year,6722,6722,100.0,2001,2010,2020,2022,2023,2025,2025,2020.85
cod_population_admin1.csv,COD-PS,Age_min,85961,85961,100.0,0,0,20,40,65,95,100,41.18
cod_population_admin1.csv,COD-PS,Age_max,81054,81054,100.0,0,4,19,44,64,94,99,42.74
cod_population_admin1.csv,COD-PS,Population,91471,91471,100.0,0,64,4817.5,19943,69615,1986572,110012442,135662.76
cod_population_admin1.csv,COD-PS,Reference_year,91471,91471,100.0,2001,2010,2021,2022,2024,2025,2025,2021.47
